name	diet	period	lived_in	type	length_m	taxonomy	named_in	species	flight		
sinraptor	carnivorous	Mid Jurassic	East Asia	large theropod	7.6	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Sinraptoridae	1992	hepingensis	no		
sonidosaurus	herbivorous	Late Cretaceous	East Asia	sauropod	9	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria	2006	saihangaobiensis	no		
spinosaurus	carnivorous	Late Cretaceous	North Africa	large theropod	18	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Spinosaurinae	1915	aNorth Africaiacus	no		
staurikosaurus	carnivorous	Late Triassic	South America	large theropod	2	Dinosauria Saurischia Theropoda Herrerasauridae	1970	pricei	no		
stegoceras	herbivorous	Late Cretaceous	North America	euornithopod	2.4	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae	1902	validum	no		
stegosaurus	herbivorous	Late Jurassic	North America	armoured dinosaur	9	Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae	1877	armatus	no		
stenopelix	herbivorous	Early Cretaceous	West Europe	ceratopsian	1.5	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria	1857	valdensis	no		
struthiomimus	omnivorous	Late Cretaceous	North America	small theropod	4	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae	1917	altus	no		
struthiosaurus	herbivorous	Late Cretaceous	West Europe	armoured dinosaur	2.5	Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae	1871	austriacus	no		
styracosaurus	herbivorous	Late Cretaceous	North America	ceratopsian	5.5	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae	1913	albertensis	no		
suchomimus	carnivorous	Early Cretaceous	North Africa	large theropod	11	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Baryonychinae	1998	tenerensis	no		
supersaurus	herbivorous	Early Cretaceous	North America	sauropod	35	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae	1985	vivianae	no		
talarurus	herbivorous	Late Cretaceous	East Asia	armoured dinosaur	6	Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae	1952	plicatospineus	no		
tanius	herbivorous	Late Cretaceous	East Asia	euornithopod	7	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae	1929	sinensis	no		
tarbosaurus	carnivorous	Late Cretaceous	East Asia	large theropod	10	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae	1955	bataar	no		
tarchia	herbivorous	Late Cretaceous	East Asia	armoured dinosaur	8.5	Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosaurinae	1956	gigantea	no		
telmatosaurus	herbivorous	Late Cretaceous	West Europe	euornithopod	5	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae	1900	transsylvanicus	no		
tenontosaurus	herbivorous	Early Cretaceous	North America	euornithopod	7	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia	1970	tillettorum	no		
thecodontosaurus	omnivorous	Late Triassic	West Europe	sauropod	2.5	Dinosauria Saurischia Sauropodomorpha Prosauropoda	1843	antiquus	no		
therizinosaurus	carnivorous	Late Cretaceous	East Asia	large theropod	12	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae	1915	cheloniformis	no		
thescelosaurus	herbivorous	Late Cretaceous	North America	euornithopod	3.5	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda	1913	neglectus	no		
torosaurus	herbivorous	Late Cretaceous	North America	ceratopsian	7.5	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae	1891	latus	no		
torvosaurus	carnivorous	Late Jurassic	North America	large theropod	10	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae	1979	tanneri	no		
triceratops	herbivorous	Late Cretaceous	North America	ceratopsian	9	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae	1889	horridus	no		
troodon	carnivorous	Late Cretaceous	North America	small theropod	2	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae	1856	formosus	no		
tsagantegia	herbivorous	Late Cretaceous	East Asia	armoured dinosaur	6.5	Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae	1993	longicranialis	no		
tsintaosaurus	herbivorous	Late Cretaceous	East Asia	euornithopod	12	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae	1958	spinorhinus	no		
tuojiangosaurus	herbivorous	Late Jurassic	East Asia	armoured dinosaur	7	Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae	1973	multispinus	no		
tylocephale	herbivorous	Late Cretaceous	East Asia	euornithopod	1.4	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae	1974	gilmorei	no		
tyrannosaurus	carnivorous	Late Cretaceous	North America	large theropod	12	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae	1905	rex	no		
udanoceratops	herbivorous	Late Cretaceous	East Asia	ceratopsian	4	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia	1992	tschizhovi	no		
unenlagia	carnivorous	Late Cretaceous	South America	small theropod	2.4	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae	1997	comahuensis	no		
urbacodon	carnivorous	Late Cretaceous	Western Asia	small theropod	1	Dinosauria Saurischia	2007	itemirensis	no		
utahraptor	carnivorous	Early Cretaceous	North America	large theropod	6	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae	1993	ostrommaysorum	no		
valdosaurus	herbivorous	Early Cretaceous	West Europe	euornithopod	3	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Dryosauridae	1975	canaliculatus	no		
velociraptor	carnivorous	Late Cretaceous	East Asia	small theropod	1.8	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae	1924	mongoliensis	no		
vulcanodon	herbivorous	Early Jurassic	South Africa	sauropod	6.5	Dinosauria Saurischia Sauropodomorpha Sauropoda Vulcanodontidae	1972	karibaensis	no		
yandusaurus	herbivorous	Mid Jurassic	East Asia	euornithopod	3	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda	1979	hongheensis	no		
yangchuanosaurus	carnivorous	Late Jurassic	East Asia	large theropod	10	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Sinraptoridae	1978	shangyouensis	no		
yimenosaurus	herbivorous	Early Jurassic	East Asia	sauropod	9	Dinosauria Saurischia Sauropodomorpha Prosauropoda	1990	youngi	no		
yingshanosaurus	herbivorous	Late Jurassic	East Asia	armoured dinosaur	4.5	Dinosauria Ornithischia Genasauria Thyreophora Stegosauria	1992	jichuanensis	no		
yinlong	herbivorous	Mid Jurassic	East Asia	ceratopsian	1.2	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia	2006	downsi	no		
yuanmousaurus	herbivorous	Mid Jurassic	East Asia	sauropod	17	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda	2006	jiangyiensis	no		
yunnanosaurus	omnivorous	Early Jurassic	East Asia	sauropod	7	Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria	1942	huangi	no		
zalmoxes	herbivorous	Late Cretaceous	East Europe	euornithopod	3	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae	1902	robustus	no		
zephyrosaurus	herbivorous	Early Cretaceous	North America	euornithopod	1.8	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda	1980	schaffi	no		
zuniceratops	herbivorous	Late Cretaceous	North America	ceratopsian	2.2	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria	1998	christopheri	no		
